duration,trial,x_position (mm),y_position (mm),measured_speed (mm/s)
2.5,1,52.02553989897467,0.041815198736309414,20.810215959589865
2.5,2,52.01718533852578,0.050672956283666123,20.80687413541031
2.5,3,52.02441842003763,0.03593244780300579,20.80976736801505
2.5,4,51.8250914388301,0.04197758730935013,20.73003657553204
2.5,5,52.017577310433786,0.03867796516354331,20.807030924173514
2.5,6,52.02246497221661,0.03917045422506458,20.808985988886644
2.5,7,52.02504256169594,0.04219463794081113,20.810017024678377
2.5,8,52.0204794754544,0.03518008243142515,20.80819179018176
2.5,9,52.0336897754826,0.03888047012988657,20.81347591019304
2.5,10,52.02497461328891,0.04357151276978725,20.809989845315567
2.5,11,52.017264406298835,0.04125078119222712,20.806905762519534
2.5,12,52.02480232312076,0.04277520981081971,20.809920929248307
2.5,13,52.01909316487422,0.038910821814734944,20.80763726594969
2.5,14,52.02428896008934,0.03636368883190817,20.809715584035736
2.5,15,52.02769915987415,0.0304497022291871,20.811079663949663
2.5,16,52.01900052440396,0.03918106936765004,20.80760020976158
2.5,17,52.02304339238404,0.045859619907071394,20.809217356953617
2.5,18,52.02305395029972,0.03866120790390825,20.80922158011989
2.5,19,52.02428997912156,0.0362415614875835,20.809715991648623
2.5,20,52.216718125922924,0.0314386644654918,20.88668725036917
2.5,21,52.01759322173837,0.04013360650866534,20.807037288695348
2.5,22,52.017663995567034,0.04260710417955306,20.807065598226814
2.5,23,52.01893686270389,0.03908395631614429,20.807574745081553
2.5,24,52.02346126807168,0.044854535505555196,20.809384507228668
2.5,25,52.03455332314664,0.04202652892782167,20.813821329258655
2.5,26,52.02603121676108,0.042324090976214486,20.810412486704433
2.5,27,52.02489521329414,0.035420250620960624,20.809958085317653
2.5,28,52.03424776453341,0.03859486147301943,20.813699105813367
2.5,29,52.025938079578545,0.042731106734325654,20.81037523183142
2.5,30,52.032874779645894,0.03763813580470418,20.81314991185836
2.5,31,52.020245929856394,0.04879458022587201,20.808098371942556
2.5,32,52.02517642361082,0.04176731101591139,20.81007056944433
2.5,33,52.02501871672017,0.042847647744570554,20.810007486688068
2.5,34,52.029785707566596,0.039146826859936826,20.81191428302664
2.5,35,52.024804023953244,0.039971033671944996,20.8099216095813
2.5,36,52.03390383333981,0.039547160922528427,20.81356153333592
2.5,37,52.034320826327985,0.03822232897434352,20.813728330531195
2.5,38,52.02747949114928,0.03156865507343483,20.81099179645971
2.5,39,52.019726856411744,0.04902335948348428,20.807890742564695
2.5,40,52.03357639374612,0.03872487481957796,20.813430557498446
2.5,41,52.01726017905232,0.04349601495238402,20.806904071620927
2.5,42,52.031306889392965,0.04156602813426814,20.812522755757186
2.5,43,52.01724529612164,0.044039187547961336,20.806898118448654
2.5,44,52.03432524589819,0.03815467427801839,20.813730098359276
2.5,45,52.0168204302911,0.043683354603291785,20.80672817211644
2.5,46,52.0198500763148,0.04064133829469651,20.80794003052592
2.5,47,52.01757583317767,0.043595364479718755,20.807030333271072
2.5,48,52.019034630457675,0.03885258618652391,20.80761385218307
2.5,49,52.01825742727052,0.038381047425716554,20.807302970908207
2.5,50,52.02773097818859,0.030450391251747557,20.811092391275437
5.0,1,102.02788387219266,0.0894141164881754,20.405576774438533
5.0,2,102.02923768904414,0.08678136009209807,20.405847537808828
5.0,3,102.02451732599353,0.07506010990493459,20.404903465198707
5.0,4,102.0384463329024,0.07944552845733867,20.40768926658048
5.0,5,102.0377271936725,0.07838224143492978,20.4075454387345
5.0,6,102.03725596176481,0.07828823145540229,20.407451192352962
5.0,7,102.03840379270903,0.07970745628180671,20.407680758541808
5.0,8,102.02335967499302,0.07887592124582675,20.404671934998603
5.0,9,102.0260895531546,0.08764134652575822,20.40521791063092
5.0,10,102.02829827390644,0.08048810237964482,20.40565965478129
5.0,11,102.0296126454962,0.08344135203903513,20.40592252909924
5.0,12,102.02764795800094,0.08519266337390735,20.40552959160019
5.0,13,102.03594802345064,0.07689529665874559,20.40718960469013
5.0,14,102.03768866829125,0.07858501462839704,20.407537733658252
5.0,15,102.03073994703504,0.08243544876802203,20.406147989407007
5.0,16,102.03104467909255,0.083515374144721,20.40620893581851
5.0,17,102.02703009687018,0.07991210074578517,20.405406019374038
5.0,18,102.02971785814671,0.08701264687674277,20.405943571629344
5.0,19,102.02997545280024,0.08763367061492947,20.405995090560047
5.0,20,102.02764730752841,0.09117001372722972,20.405529461505683
5.0,21,102.03079056151542,0.07725691145762273,20.406158112303086
5.0,22,102.0306849606789,0.08208379775691246,20.406136992135778
5.0,23,102.0243216810986,0.07977301146898737,20.40486433621972
5.0,24,102.03707450097971,0.07836151224550413,20.407414900195942
5.0,25,102.02315275281477,0.07876988902503897,20.404630550562953
5.0,26,102.02902527296696,0.08705818233613252,20.40580505459339
5.0,27,102.02942572805881,0.08400981447200928,20.405885145611766
5.0,28,102.02241497638272,0.07895288845098794,20.404482995276542
5.0,29,102.03773629153528,0.07853018373779715,20.40754725830706
5.0,30,102.03056679357732,0.07708728909177569,20.406113358715462
5.0,31,102.02988011208848,0.08302654974773845,20.405976022417697
5.0,32,102.03685386060646,0.0795089812848955,20.40737077212129
5.0,33,102.02765405865355,0.08393195214461577,20.40553081173071
5.0,34,102.02386826635983,0.07951756108448066,20.404773653271967
5.0,35,102.01925314039073,0.08748009924753508,20.403850628078146
5.0,36,102.02349370070078,0.0792473524681957,20.404698740140155
5.0,37,102.02787868490668,0.08071941309762785,20.405575736981337
5.0,38,102.0289643367894,0.08619063027572732,20.405792867357878
5.0,39,102.03855139057137,0.07921141461574435,20.407710278114273
5.0,40,102.03773617381196,0.07906614981964602,20.407547234762394
5.0,41,102.03726071721245,0.07809929590759936,20.40745214344249
5.0,42,102.02769386256962,0.08494211015976161,20.40553877251392
5.0,43,102.03765395956323,0.07887720222215229,20.407530791912645
5.0,44,102.03599367855557,0.07680478239651241,20.407198735711113
5.0,45,102.03769330862426,0.07854485021690479,20.40753866172485
5.0,46,102.03727997684315,0.0780203450462654,20.407455995368633
5.0,47,102.02896443020266,0.08598282434965937,20.405792886040533
5.0,48,102.02519683123897,0.08474055488308399,20.405039366247795
5.0,49,102.02433634009702,0.08021810776170403,20.404867268019405
5.0,50,102.02378790312926,0.08408713092806144,20.40475758062585
7.5,1,151.82460455883907,0.1265568390420539,20.243280607845207
7.5,2,152.03372728084182,0.13956823999286805,20.27116363744558
7.5,3,152.02861959037548,0.1305324337240817,20.270482612050063
7.5,4,152.03258120874293,0.13927794763788878,20.271010827832388
7.5,5,152.0276405272483,0.1294377170353002,20.270352070299776
7.5,6,152.04085178578174,0.13013620787231125,20.272113571437565
7.5,7,152.02856286113737,0.1305880198089222,20.27047504815165
7.5,8,152.03379302511675,0.14014200029799737,20.2711724033489
7.5,9,152.03570416614258,0.13147482418204673,20.271427222152347
7.5,10,152.03991933231697,0.12951792842787668,20.27198924430893
7.5,11,152.03457731792557,0.1434299534125194,20.27127697572341
7.5,12,152.0373176482813,0.1351383487346167,20.271642353104173
7.5,13,152.0272443668421,0.1283518747027302,20.270299248912277
7.5,14,152.0407806865245,0.13015136144944583,20.2721040915366
7.5,15,152.03293585070008,0.13319702059194458,20.271058113426676
7.5,16,152.02459751261452,0.1361904812788693,20.26994633501527
7.5,17,152.03950818282206,0.12873570492180603,20.271934424376273
7.5,18,152.0287357473872,0.13043932985576756,20.27049809965163
7.5,19,152.02551604289556,0.13978217979121205,20.270068805719408
7.5,20,152.0326588439028,0.1438316648621271,20.27102117918704
7.5,21,152.04084077668313,0.1302211747835106,20.27211210355775
7.5,22,152.02831738577748,0.129019110249682,20.270442318103665
7.5,23,152.02870436447537,0.13008958892121666,20.270493915263383
7.5,24,152.03524851312153,0.13976207527418255,20.271366468416204
7.5,25,152.03442064824898,0.14119280258799438,20.271256086433198
7.5,26,152.02660591494674,0.1323161178019993,20.2702141219929
7.5,27,152.0356064514308,0.13127378337034007,20.27141419352411
7.5,28,152.0345686015085,0.14385399773755783,20.27127581353447
7.5,29,152.04049832584602,0.12917231594951822,20.272066443446136
7.5,30,152.02828092350455,0.1289562045489222,20.270437456467278
7.5,31,152.03951681635195,0.13122113031648136,20.27193557551359
7.5,32,152.03290815807117,0.13310495748001963,20.271054421076155
7.5,33,152.03079707938267,0.1300247358595552,20.27077294391769
7.5,34,152.03146231282258,0.14994009694127308,20.270861641709676
7.5,35,152.0272814703676,0.12850147202239579,20.270304196049015
7.5,36,152.03323502136257,0.1501416683266793,20.27109800284834
7.5,37,152.0405617905793,0.12998738356365233,20.27207490541057
7.5,38,152.03171520878615,0.1312219111163691,20.270895361171487
7.5,39,152.02727021282664,0.1361751960871735,20.27030269504355
7.5,40,152.03347278714023,0.13587534016026684,20.27112970495203
7.5,41,152.02780894606923,0.12957198160006933,20.270374526142565
7.5,42,152.03471549127622,0.14363125614559424,20.27129539883683
7.5,43,152.02547133773004,0.14004010229969502,20.270062845030672
7.5,44,152.033096691457,0.13332879734207448,20.27107955886093
7.5,45,152.02835957757853,0.1464448463890452,20.270447943677137
7.5,46,152.0350280519974,0.1378157776917073,20.27133707359965
7.5,47,152.03428121549894,0.1373922530128507,20.271237495399863
7.5,48,152.02783280742588,0.12943814748117624,20.270377707656785
7.5,49,152.03550083747248,0.12689040987252923,20.271400111662995
7.5,50,152.02874297129685,0.1298900191047166,20.27049906283958
